hostname,pl_name,pl_orbsmax,sy_pnum
"Kepler-80","Kepler-80 c",0.0792000000,6
"HD 63433","HD 63433 b",0.0720000000,3
"Kepler-82","Kepler-82 e",0.0630000000,5
"K2-16","K2-16 c",0.1229000000,3
"TRAPPIST-1","TRAPPIST-1 h",0.0618900000,7
"HIP 57274","HIP 57274 c",0.1780000000,3
"TOI-431","TOI-431 d",0.0980000000,3
"GJ 676 A","GJ 676 A c",9.7260000000,4
"TOI-1260","TOI-1260 c",0.0657000000,3
"Kepler-306","Kepler-306 e",0.2270000000,4
"Kepler-150","Kepler-150 d",0.1040000000,5
"Kepler-148","Kepler-148 c",0.0500000000,3
"Kepler-124","Kepler-124 c",0.1000000000,3
"Kepler-198","Kepler-198 c",0.2590000000,3
"Kepler-129","Kepler-129 b",0.1300000000,3
"LHS 1903","LHS 1903 c",0.0538700000,4
"Kepler-446","Kepler-446 b",0.0182000000,3
"Kepler-167","Kepler-167 d",0.1404000000,4
"K2-187","K2-187 e",0.1106000000,4
"K2-32","K2-32 e",0.0489900000,4
"55 Cnc B","55 Cnc B c",0.1300000000,7
"HD 39194","HD 39194 b",0.0589500000,3
"WASP-47","WASP-47 c",1.3930000000,4
"Kepler-1542","Kepler-1542 b",0.0476500000,4
"Kepler-1311","Kepler-1311 d",0.6843400000,3
"DMPP-2","DMPP-2 d",0.1432000000,3
"Kepler-347","Kepler-347 b",0.1100000000,3
"HD 34445","HD 34445 d",0.4817000000,6
"TOI-700","TOI-700 c",0.0929000000,4
"LHS 1903","LHS 1903 e",0.1513500000,4
"Kepler-256","Kepler-256 d",0.0640000000,4
"Kepler-197","Kepler-197 d",0.1190000000,4
"HD 33142","HD 33142 b",1.0740000000,3
"TOI-7510","TOI-7510 b",0.1019000000,3
"Kepler-47","Kepler-47 d",0.6992000000,3
"Kepler-325","Kepler-325 d",0.2200000000,3
"Kepler-298","Kepler-298 b",0.0800000000,3
"HD 11506","HD 11506 d",18.2000000000,3
"Kepler-282","Kepler-282 c",0.1060000000,4
"TRAPPIST-1","TRAPPIST-1 g",0.0468300000,7
"HD 160691","HD 160691 b",1.5000000000,4
"TOI-4504","TOI-4504 c",0.3569000000,3
"Kepler-207","Kepler-207 b",0.0290000000,3
"Kepler-1987","Kepler-1987 c",0.0427000000,4
"Kepler-169","Kepler-169 d",0.0750000000,5
"Kepler-191","Kepler-191 d",0.0610400000,3
"Kepler-1542","Kepler-1542 d",0.0629000000,4
"Kepler-222","Kepler-222 b",0.0480000000,3
"Kepler-208","Kepler-208 e",0.1320000000,4
"Kepler-254","Kepler-254 c",0.1050000000,3
"Kepler-350","Kepler-350 d",0.1786000000,3
